===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MacdCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
18,,18,2015-01-28 00:00:00,41.879545263112895,42.415849930518505,41.24747360126331,41.28578186035156,2425100.0,,MacdCross,18,735626.0,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2015-01-29 00:00:00,41.22832502582493,41.83166740127639,40.759061575244914,41.486900329589844,4927300.0,,MacdCross,19,735627.0,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2015-01-30 00:00:00,41.3528300772188,41.71675132520099,40.83567940691952,40.921871185302734,3146000.0,,MacdCross,20,735628.0,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2015-02-02 00:00:00,41.20917307916,41.54436492919922,40.577101298639505,41.54436492919922,2136700.0,,MacdCross,21,735631.0,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2015-02-03 00:00:00,41.66885792347836,41.956166243922944,41.37197801715864,41.65928268432617,4910800.0,,MacdCross,22,735632.0,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2015-02-04 00:00:00,42.00403927991525,42.17642276791766,41.39112183514052,41.62096405029297,5102900.0,,MacdCross,23,735633.0,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2015-02-05 00:00:00,41.70717286882764,42.2147483038653,41.295368107041256,41.56352233886719,3470900.0,,MacdCross,24,735634.0,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2015-02-06 00:00:00,41.601815857720815,42.36796642625191,41.44858647466993,41.81250762939453,5408000.0,,MacdCross,25,735635.0,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2015-02-09 00:00:00,41.65928105545833,41.81251044884158,40.85482582687702,41.055938720703125,4467100.0,,MacdCross,26,735638.0,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2015-02-10 00:00:00,41.30494042257232,42.14770029329552,40.99848162353169,42.05193328857422,4111200.0,,MacdCross,27,735639.0,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2015-02-11 00:00:00,42.98089400878383,44.16842109179142,42.98089400878383,43.83323287963867,7071100.0,,MacdCross,28,735640.0,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2015-02-12 00:00:00,45.24101831463238,45.394247691641674,43.344799750887105,43.85237503051758,6989600.0,,MacdCross,29,735641.0,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2015-02-13 00:00:00,42.846815922307755,43.57465470108163,42.48289470628219,43.536346435546875,6413300.0,,MacdCross,30,735642.0,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2015-02-17 00:00:00,43.62253675638223,44.283341528421566,43.52676974900586,44.245033264160156,4055800.0,,MacdCross,31,735646.0,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2015-02-18 00:00:00,44.158835848002965,44.46529461634185,43.881106447546884,43.90983581542969,3276900.0,,MacdCross,32,735647.0,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2015-02-19 00:00:00,43.8906986908019,44.0535033626994,43.565085693729095,43.71831512451172,2928800.0,,MacdCross,33,735648.0,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2015-02-20 00:00:00,43.766188440871574,43.948147205887516,43.20115436150138,43.67041778564453,3713000.0,,MacdCross,34,735649.0,Broker,34,10000.0,10000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2015-02-23 00:00:00,43.77576820481716,43.98646001481872,43.29692583901533,43.65127182006836,2664500.0,,MacdCross,35,735652.0,Broker,35,10000.0,10000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2015-02-24 00:00:00,43.71831065478148,43.85238593634879,43.363964664036544,43.47888946533203,1869800.0,,MacdCross,36,735653.0,Broker,36,10000.0,10000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2015-02-25 00:00:00,43.622538681207004,44.02476816714573,43.46930927067733,43.78534698486328,2958800.0,,MacdCross,37,735654.0,Broker,37,10000.0,10000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2015-02-26 00:00:00,43.89067938767142,44.72386382278738,43.86194637040798,44.647247314453125,4903000.0,,MacdCross,38,735655.0,Broker,38,10000.0,10000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2015-02-27 00:00:00,44.570645416608954,44.89625835052559,44.0918030816302,44.139686584472656,5555500.0,,MacdCross,39,735656.0,Broker,39,10000.0,10000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2015-03-02 00:00:00,44.139679596266376,45.595360502531236,44.139679596266376,45.30805587768555,5261700.0,,MacdCross,40,735659.0,Broker,40,10000.0,10000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2015-03-03 00:00:00,45.279332847443804,45.33679524640091,44.37911051677966,44.570648193359375,2256200.0,,MacdCross,41,735660.0,Broker,41,10000.0,10000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2015-03-04 00:00:00,44.43656621375517,44.522757972552625,43.91941566097047,44.27375793457031,3293000.0,,MacdCross,42,735661.0,Broker,42,10000.0,10000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2015-03-05 00:00:00,44.71429320638618,44.848372120780624,44.043916900798294,44.49402618408203,2327600.0,,MacdCross,43,735662.0,Broker,43,10000.0,10000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2015-03-06 00:00:00,44.34080043245229,44.56106747283904,43.7374580546155,43.842803955078125,3486500.0,,MacdCross,44,735663.0,Broker,44,10000.0,10000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2015-03-09 00:00:00,43.92898552848265,44.97286174483446,43.55548917045081,44.331214904785156,3757800.0,,MacdCross,45,735666.0,Broker,45,10000.0,10000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2015-03-10 00:00:00,44.177994270152276,44.32164477680051,43.74703544365347,43.76618957519531,2189500.0,,MacdCross,46,735667.0,Broker,46,10000.0,10000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2015-03-11 00:00:00,43.93857201786873,44.60895199212625,43.794917861500345,44.06306838989258,3245000.0,,MacdCross,47,735668.0,Broker,47,10000.0,10000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2015-03-12 00:00:00,44.3503803889104,44.886681490270725,44.187572087942264,44.85795211791992,2276500.0,,MacdCross,48,735669.0,Broker,48,10000.0,10000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2015-03-13 00:00:00,44.87710184169904,44.87710184169904,44.072646615413746,44.48445129394531,2487100.0,,MacdCross,49,735670.0,Broker,49,10000.0,10000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2015-03-16 00:00:00,44.73344059404014,45.03989933133626,44.580211225392084,44.99201583862305,2519800.0,,MacdCross,50,735673.0,Broker,50,10000.0,10000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2015-03-17 00:00:00,44.647259375671716,45.33679352384921,44.446146466879014,45.15483474731445,2906900.0,,MacdCross,51,735674.0,Broker,51,10000.0,10000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2015-03-18 00:00:00,44.992016407618884,45.739009132565535,44.695132903800314,45.49958801269531,3056000.0,,MacdCross,52,735675.0,Broker,52,10000.0,10000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2015-03-19 00:00:00,45.45169971139808,45.71985382151474,45.106932750730934,45.40381622314453,2000700.0,,MacdCross,53,735676.0,Broker,53,10000.0,10000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2015-03-20 00:00:00,45.48045380619934,45.892254918661784,45.10695365684986,45.33679962158203,4542700.0,,MacdCross,54,735677.0,Broker,54,10000.0,10000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2015-03-23 00:00:00,45.53790643264192,45.68156059793795,45.04948884653432,45.15483474731445,4820100.0,,MacdCross,55,735680.0,Broker,55,10000.0,10000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,,56,2015-03-24 00:00:00,45.241026273086014,45.59536858476385,44.78133440791614,45.03033447265625,1938100.0,,MacdCross,56,735681.0,Broker,56,10000.0,10000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,,57,2015-03-25 00:00:00,45.17398681618585,45.375103385334,44.26418924821471,44.31207275390625,4148400.0,,MacdCross,57,735682.0,Broker,57,10000.0,10000.0,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,,58,2015-03-26 00:00:00,44.0726484140639,44.42699071472299,43.756610723246865,44.15884017944336,3550800.0,,MacdCross,58,735683.0,Broker,58,10000.0,10000.0,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2015-03-27 00:00:00,44.18755509916006,44.56105140923143,44.053479875367856,44.2641716003418,2801700.0,,MacdCross,59,735684.0,Broker,59,10000.0,10000.0,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,,60,2015-03-30 00:00:00,44.50360750690987,44.9728709464535,44.4557203510863,44.93456268310547,2206900.0,,MacdCross,60,735687.0,Broker,60,10000.0,10000.0,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2015-03-31 00:00:00,44.781324120560704,44.944132379840106,44.33121490478516,44.331214904785156,2768400.0,,MacdCross,61,735688.0,Broker,61,10000.0,10000.0,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,,62,2015-04-01 00:00:00,44.340802126665714,44.5898022015054,44.01518917337503,44.31207275390625,4751300.0,,MacdCross,62,735689.0,Broker,62,10000.0,10000.0,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2015-04-02 00:00:00,44.48445368583986,44.68556658990565,44.24503251815857,44.5323371887207,3084000.0,,MacdCross,63,735690.0,Broker,63,10000.0,10000.0,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2015-04-06 00:00:00,44.19714620210072,44.6951389842964,44.063067287980644,44.369529724121094,2385300.0,,MacdCross,64,735694.0,Broker,64,10000.0,10000.0,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,,65,2015-04-07 00:00:00,44.516320435814954,44.95764513346923,44.449162488773375,44.477943420410156,2367100.0,,MacdCross,65,735695.0,Broker,65,10000.0,10000.0,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,,66,2015-04-08 00:00:00,44.487526892871124,44.71778527913527,44.247676084602716,44.334022521972656,2565400.0,,MacdCross,66,735696.0,Broker,66,10000.0,10000.0,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,,67,2015-04-09 00:00:00,44.42037407864037,44.842513892136004,44.28605819610387,44.66022491455078,2720800.0,,MacdCross,67,735697.0,Broker,67,10000.0,10000.0,BuySell,67,,,Trades - Net Profit/Loss,67,,
