===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,KDJ_MACDStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
16,,16,2015-01-26 00:00:00,42.176439763026536,42.435015099223776,41.99447731165944,42.22432327270508,1926800.0,,KDJ_MACDStrategy,16,735624.0,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2015-01-27 00:00:00,41.75504757252685,42.04235587840869,41.38155115881269,41.467742919921875,3008300.0,,KDJ_MACDStrategy,17,735625.0,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2015-01-28 00:00:00,41.879537523994024,42.41584209229336,41.247465978947936,41.28577423095703,2425100.0,,KDJ_MACDStrategy,18,735626.0,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2015-01-29 00:00:00,41.22832123490352,41.83166355487799,40.75905782747201,41.48689651489258,4927300.0,,KDJ_MACDStrategy,19,735627.0,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2015-01-30 00:00:00,41.35281465773545,41.716735770020094,40.83566418026931,40.92185592651367,3146000.0,,KDJ_MACDStrategy,20,735628.0,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2015-02-02 00:00:00,41.20917307916,41.54436492919922,40.577101298639505,41.54436492919922,2136700.0,,KDJ_MACDStrategy,21,735631.0,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2015-02-03 00:00:00,41.66885410790431,41.95616240204036,41.37197422876957,41.659278869628906,4910800.0,,KDJ_MACDStrategy,22,735632.0,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2015-02-04 00:00:00,42.00404312972261,42.17642663352453,41.391125628771995,41.620967864990234,5102900.0,,KDJ_MACDStrategy,23,735633.0,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2015-02-05 00:00:00,41.70716138518314,42.21473668046508,41.295356736783,41.56351089477539,3470900.0,,KDJ_MACDStrategy,24,735634.0,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2015-02-06 00:00:00,41.60181206224568,42.367962560878254,41.44858269317443,41.812503814697266,5408000.0,,KDJ_MACDStrategy,25,735635.0,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2015-02-09 00:00:00,41.65928492621492,41.81251433383543,40.85482962288796,41.05594253540039,4467100.0,,KDJ_MACDStrategy,26,735638.0,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2015-02-10 00:00:00,41.3049441695069,42.147704116680195,40.998485342666186,42.051937103271484,4111200.0,,KDJ_MACDStrategy,27,735639.0,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2015-02-11 00:00:00,42.980882787222825,44.168409560187825,42.980882787222825,43.833221435546875,7071100.0,,KDJ_MACDStrategy,28,735640.0,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2015-02-12 00:00:00,45.24101831463238,45.394247691641674,43.344799750887105,43.85237503051758,6989600.0,,KDJ_MACDStrategy,29,735641.0,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2015-02-13 00:00:00,42.84680841374791,43.57464706497388,42.4828872614966,43.536338806152344,6413300.0,,KDJ_MACDStrategy,30,735642.0,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2015-02-17 00:00:00,43.62253299535507,44.283337710421456,43.52676599623549,44.24502944946289,4055800.0,,KDJ_MACDStrategy,31,735646.0,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2015-02-18 00:00:00,44.1588435206616,44.46530234224812,43.881114071949646,43.90984344482422,3276900.0,,KDJ_MACDStrategy,32,735647.0,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2015-02-19 00:00:00,43.890691031324266,44.053495674810314,43.565078091075016,43.71830749511719,2928800.0,,KDJ_MACDStrategy,33,735648.0,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2015-02-20 00:00:00,43.76619608699761,43.948154883802474,43.20116190891373,43.67042541503906,3713000.0,,KDJ_MACDStrategy,34,735649.0,Broker,34,10000.0,10000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2015-02-23 00:00:00,43.77576820481716,43.98646001481872,43.29692583901533,43.65127182006836,2664500.0,,KDJ_MACDStrategy,35,735652.0,Broker,35,10000.0,10000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2015-02-24 00:00:00,43.71831065478148,43.85238593634879,43.363964664036544,43.47888946533203,1869800.0,,KDJ_MACDStrategy,36,735653.0,Broker,36,10000.0,10000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
