===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,GoldenCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2015-01-02 00:00:00,25.24905511209419,25.260389431301693,24.333297805980582,24.7821102142334,212818400.0,,GoldenCross,1,735600.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2015-01-05 00:00:00,24.54636986694874,24.62797212070539,23.893553566269798,24.08395767211914,257142000.0,,GoldenCross,2,735603.0,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2015-01-06 00:00:00,24.149695458955698,24.35143390492875,23.716750026544787,24.086227416992188,263188400.0,,GoldenCross,3,735604.0,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2015-01-07 00:00:00,24.299304357146156,24.525976978870933,24.185968046283765,24.423974990844727,160423600.0,,GoldenCross,4,735605.0,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2015-01-08 00:00:00,24.75944618136518,25.421329686737213,24.639308263682505,25.362394332885742,237458000.0,,GoldenCross,5,735606.0,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2015-01-09 00:00:00,25.539196109969104,25.67066660564831,24.981581837583253,25.38959312438965,214798000.0,,GoldenCross,6,735607.0,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2015-01-12 00:00:00,25.52333174277887,25.53013164336722,24.661976990555583,24.763978958129883,198603200.0,,GoldenCross,7,735610.0,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2015-01-13 00:00:00,25.25812214793092,25.568664161943303,24.68690808664916,24.983848571777344,268367600.0,,GoldenCross,8,735611.0,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2015-01-14 00:00:00,24.716379242783177,25.045053804161768,24.593975837541425,24.88865089416504,195826400.0,,GoldenCross,9,735612.0,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2015-01-15 00:00:00,24.933976310879903,24.94757610819524,24.176890951176354,24.213157653808594,240056000.0,,GoldenCross,10,735613.0,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2015-01-16 00:00:00,24.26076216051273,24.385432751734243,23.845950989038545,24.025022506713867,314053200.0,,GoldenCross,11,735614.0,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2015-01-20 00:00:00,24.44437161571617,24.700512752780895,24.14063117098854,24.643844604492188,199599600.0,,GoldenCross,12,735618.0,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2015-01-21 00:00:00,24.695976728376944,25.174256007217657,24.54183930586845,24.831981658935547,194303600.0,,GoldenCross,13,735619.0,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2015-01-22 00:00:00,24.99291580106901,25.493861928118967,24.87051241677014,25.477994918823242,215185600.0,,GoldenCross,14,735620.0,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2015-01-23 00:00:00,25.45533103885078,25.784005583105394,25.280792186453876,25.609468460083008,185859200.0,,GoldenCross,15,735621.0,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2015-01-26 00:00:00,25.78173755764346,25.922275173237068,25.568666518396043,25.636667251586914,222460000.0,,GoldenCross,16,735624.0,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2015-01-27 00:00:00,25.482533872836186,25.49613540512904,24.71411387921735,24.73904800415039,382274800.0,,GoldenCross,17,735625.0,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2015-01-28 00:00:00,26.663491640050562,26.774562435558718,26.137611389160156,26.137611389160156,585908400.0,,GoldenCross,18,735626.0,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2015-01-29 00:00:00,26.366554564957053,27.017105495303205,26.19428291909239,26.951370239257812,337745600.0,,GoldenCross,19,735627.0,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2015-01-30 00:00:00,26.83803458255389,27.20071037501247,26.486691381793477,26.556961059570312,334982000.0,,GoldenCross,20,735628.0,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2015-02-02 00:00:00,26.758694659704453,27.012566803596226,26.312149468842172,26.89016342163086,250956400.0,,GoldenCross,21,735631.0,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2015-02-03 00:00:00,26.86069977236562,26.9944357596979,26.658961321707938,26.89470100402832,207662800.0,,GoldenCross,22,735632.0,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2015-02-04 00:00:00,26.860696966837022,27.31630927303096,26.81762862927101,27.100969314575195,280598800.0,,GoldenCross,23,735633.0,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2015-02-05 00:00:00,27.312614762175816,27.360405402350413,27.137388780935495,27.294410705566406,168984800.0,,GoldenCross,24,735634.0,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2015-02-06 00:00:00,27.312611134553247,27.36495234787832,26.955330745072597,27.064563751220703,174826400.0,,GoldenCross,25,735635.0,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2015-02-09 00:00:00,26.978085845200503,27.271645935602436,26.95077716265634,27.244338989257812,155559200.0,,GoldenCross,26,735638.0,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2015-02-10 00:00:00,27.346743287670257,27.797326996880805,27.34446886629309,27.767742156982422,248034000.0,,GoldenCross,27,735639.0,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2015-02-11 00:00:00,27.938421752567578,28.427691533793567,27.876979378273983,28.418588638305664,294247200.0,,GoldenCross,28,735640.0,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2015-02-12 00:00:00,28.687108112309847,29.010254714293144,28.57560071928278,28.778135299682617,297898000.0,,GoldenCross,29,735641.0,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2015-02-13 00:00:00,28.9647441465004,28.9647441465004,28.593810348122414,28.919231414794922,217088800.0,,GoldenCross,30,735642.0,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
