===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,KDJStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
17,,17,2015-01-27 00:00:00,41.75504373139988,42.04235201085168,41.38154735204438,41.46773910522461,3008300.0,,KDJStrategy,17,735625.0,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2015-01-28 00:00:00,41.879553002231766,42.41585776874365,41.247481223578674,41.285789489746094,2425100.0,,KDJStrategy,18,735626.0,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2015-01-29 00:00:00,41.22832881674634,41.8316712476748,40.759065323017815,41.48690414428711,4927300.0,,KDJStrategy,19,735627.0,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2015-01-30 00:00:00,41.352826222347964,41.71674743640577,40.83567560025697,40.92186737060547,3146000.0,,KDJStrategy,20,735628.0,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2015-02-02 00:00:00,41.209169295240805,41.54436111450196,40.577097572758575,41.54436111450195,2136700.0,,KDJStrategy,21,735631.0,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2015-02-03 00:00:00,41.66885792347836,41.956166243922944,41.37197801715864,41.65928268432617,4910800.0,,KDJStrategy,22,735632.0,Broker,22,471.53116202663114,9997.81041832139,BuySell,22,40.75139834690126,,Trades - Net Profit/Loss,22,,
23,,23,2015-02-04 00:00:00,42.00404312972261,42.17642663352453,41.391125628771995,41.620967864990234,5102900.0,,KDJStrategy,23,735633.0,Broker,23,471.53116202663114,9989.048921600135,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2015-02-05 00:00:00,41.70716904094614,42.214744429398564,41.29536431695517,41.56351852416992,3470900.0,,KDJStrategy,24,735634.0,Broker,24,471.53116202663114,9975.91191038726,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2015-02-06 00:00:00,41.60182344867109,42.36797415699923,41.448594037660925,41.81251525878906,5408000.0,,KDJStrategy,25,735635.0,Broker,25,471.53116202663114,10032.850299025908,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2015-02-09 00:00:00,41.65928105545833,41.81251044884158,40.85482582687702,41.055938720703125,4467100.0,,KDJStrategy,26,735638.0,Broker,26,471.53116202663114,9859.843014306647,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2015-02-10 00:00:00,41.304947916441485,42.147707940064855,40.998489061800676,42.05194091796875,4111200.0,,KDJStrategy,27,735639.0,Broker,27,9916.784252444706,9916.784252444706,BuySell,27,,42.77992355916582,Trades - Net Profit/Loss,27,,-83.21574755529346
28,,28,2015-02-11 00:00:00,42.98089026826349,44.16841724792356,42.98089026826349,43.833229064941406,7071100.0,,KDJStrategy,28,735640.0,Broker,28,287.72561351447257,10107.73470047456,BuySell,28,42.33617691423953,,Trades - Net Profit/Loss,28,,
29,,29,2015-02-12 00:00:00,45.24103012111644,45.394259538113786,43.344811062517714,43.852386474609375,6989600.0,,KDJStrategy,29,735641.0,Broker,29,287.72561351447257,10112.026557155787,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2015-02-13 00:00:00,42.84681216802783,43.57465088302775,42.48289098388939,43.53634262084961,6413300.0,,KDJStrategy,30,735642.0,Broker,30,287.72561351447257,10041.222886470228,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2015-02-17 00:00:00,43.62253299535507,44.283337710421456,43.52676599623549,44.24502944946289,4055800.0,,KDJStrategy,31,735646.0,Broker,31,10060.532215919768,10060.532215919768,BuySell,31,,44.947587776077775,Trades - Net Profit/Loss,31,143.74796347506208,
32,,32,2015-02-18 00:00:00,44.15883968433228,44.46529847929498,43.88111025974826,43.90983963012695,3276900.0,,KDJStrategy,32,735647.0,Broker,32,10060.532215919768,10060.532215919768,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2015-02-19 00:00:00,43.89068337184664,44.053487986921226,43.56507048842095,43.718299865722656,2928800.0,,KDJStrategy,33,735648.0,Broker,33,10060.532215919768,10060.532215919768,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2015-02-20 00:00:00,43.766188440871574,43.948147205887516,43.20115436150138,43.67041778564453,3713000.0,,KDJStrategy,34,735649.0,Broker,34,492.55741764774393,10039.595249547558,BuySell,34,42.55313704607886,,Trades - Net Profit/Loss,34,,
35,,35,2015-02-23 00:00:00,43.77576055366308,43.986452326839796,43.296918271553594,43.65126419067383,2664500.0,,KDJStrategy,35,735652.0,Broker,35,10062.62482981232,10062.62482981232,BuySell,35,,44.646249111742385,Trades - Net Profit/Loss,35,2.0926138925512383,
36,,36,2015-02-24 00:00:00,43.718314490484794,43.85238978381543,43.36396846865068,43.4788932800293,1869800.0,,KDJStrategy,36,735653.0,Broker,36,10062.62482981232,10062.62482981232,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2015-02-25 00:00:00,43.62253108018107,44.02476049603316,43.46930169635091,43.78533935546875,2958800.0,,KDJStrategy,37,735654.0,Broker,37,10062.62482981232,10062.62482981232,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2015-02-26 00:00:00,43.89068688778239,44.723871465274264,43.861953865608996,44.647254943847656,4903000.0,,KDJStrategy,38,735655.0,Broker,38,10062.62482981232,10062.62482981232,BuySell,38,,,Trades - Net Profit/Loss,38,,
